HarbourName,Date,Depth,OrganismsGroup,Species Name,Ident.Certain,Comments,Comments 2
Hull,20-09-15,,Phytoplankton,Delphineis minutissima,yes,,
Hull,20-09-15,11,Fouling organisms,Elachista fucicola,yes,,
Hull,20-09-15,11,Benthos,Ficopomatus enigmaticus,yes,,
Hull,20-09-15,11,Fouling organisms,Fucus spiralis,yes,,
Hull,20-09-15,11,Fouling organisms,Fucus spiralis,yes,,
Hull,20-09-15,4,Mobile epifauna,Fucus vesiculosus,yes,,
Hull,20-09-15,9,Benthos,Fucus vesiculosus,yes,,
Hull,20-09-15,11,Fouling organisms,Polysiphonia fucoides,yes,,
Hull,20-09-15,11,Fouling organisms,Polysiphonia stricta,yes,,
Hull,20-09-15,11,Fouling organisms,Prasiola stipitata,yes,,
Hull,20-09-15,,Phytoplankton,Rhaphoneis amphiceros,yes,,
Hull,20-09-15,4,Mobile epifauna,Sertularia cupressina,yes,,
Hull,20-09-15,,Phytoplankton,Tryblionella coarctata,yes,,
Hull,20-09-15,5,Fouling organisms,Tubularia indivisa,yes,,
Hull,20-09-15,5,Fouling organisms,Tubularia indivisa,yes,,
Hull,20-09-15,5,Fouling organisms,Tubularia indivisa,yes,,
Hull,20-09-15,4,Mobile epifauna,Enteromorpha ahlneriana,yes,,
Hull,20-09-15,11,Benthos,Enteromorpha ahlneriana,yes,,
Hull,20-09-15,5,Fouling organisms,Enteromorpha ahlneriana,yes,,
Hull,20-09-15,5,Fouling organisms,Enteromorpha ahlneriana,yes,,
Hull,20-09-15,5,Fouling organisms,Enteromorpha ahlneriana,yes,,
Hull,20-09-15,11,Fouling organisms,Enteromorpha ahlneriana,yes,,
Hull,20-09-15,11,Fouling organisms,Ulva compressa,yes,,
Hull,20-09-15,11,Fouling organisms,Ulva compressa,yes,,
Hull,20-09-15,11,Fouling organisms,Ulva curvata,yes,,
Hull,20-09-15,11,Fouling organisms,Ulva curvata,yes,,
Hull,20-09-15,11,Fouling organisms,Ulva curvata,yes,,
Hull,20-09-15,5,Benthos,Enteromorpha ahlneriana,yes,,
Hull,20-09-15,11,Benthos,Enteromorpha ahlneriana,yes,,
Hull,20-09-15,5,Fouling organisms,Amphibalanus improvisus,yes,,
Hull,20-09-15,11,Fouling organisms,Amphibalanus improvisus,yes,,
Hull,20-09-15,,Phytoplankton,Membraneis challengeri,yes,,
Hull,20-09-15,,Phytoplankton,Nitzschia sigma,yes,,
Hull,20-09-15,4,Mobile epifauna,Obelia longissima,yes,,
Hull,20-09-15,5,Fouling organisms,Obelia longissima,yes,,
Hull,20-09-15,,Phytoplankton,Odontella aurita,yes,,
Hull,20-09-15,,Gelatineus Zooplankton,Palaemon varians,yes,,
Hull,20-09-15,,Phytoplankton,Paralia sulcata,yes,,
Hull,20-09-15,,Phytoplankton,Plagiogrammopsis vanheurckii,yes,,
Hull,20-09-15,,Zooplankton,Polychaeta sp.,yes,,
Hull,20-09-15,5,Fouling organisms,Polysiphonia fucoides,yes,,
Hull,20-09-15,11,Fouling organisms,Fucus spiralis,yes,,
Hull,20-09-15,11,Mobile epifauna,Fucus vesiculosus,yes,,
Hull,20-09-15,11,Fouling organisms,Fucus vesiculosus,yes,,
Hull,20-09-15,11,Fouling organisms,Fucus vesiculosus,yes,,
Hull,20-09-15,11,Fouling organisms,Fucus vesiculosus,yes,,
Hull,20-09-15,11,Fouling organisms,Fucus vesiculosus,yes,,
Hull,19-09-15,4,Fouling organisms,Fucus vesiculosus,yes,,
Hull,19-09-15,6,Fouling organisms,Fucus vesiculosus,yes,,
Hull,19-09-15,0.5,Mobile epifauna,Gammarus salinus,yes,,
Hull,19-09-15,9,Benthos,Gammarus salinus,yes,,
Hull,19-09-15,8,Mobile epifauna,Gobius niger,yes,,
Hull,19-09-15,,Phytoplankton,Guinardia delicatula,yes,,
Hull,19-09-15,,Phytoplankton,Gyrosigma fasciola,yes,,
Hull,19-09-15,,Phytoplankton,Lennoxia faveolata,yes,,
Hull,19-09-15,,Phytoplankton,Lithodesmium undulatum,yes,,
Hull,19-09-15,7,Benthos,Macoma balthica,yes,,
Hull,19-09-15,,Phytoplankton,Mamiella gilva,yes,,
Hull,19-09-15,9,Fouling organisms,Melita nitida,yes,,
Hull,19-09-15,,Phytoplankton,Melosira moniliformis,yes,,
Hull,19-09-15,,Phytoplankton,Membraneis challengeri,yes,,
Hull,19-09-15,,Phytoplankton,Mesodinium rubrum,yes,,
Hull,19-09-15,7,Benthos,Mytilus edulis,yes,,
Hull,19-09-15,8,Fouling organisms,Mytilus edulis,yes,,
Hull,19-09-15,8,Benthos,Neomysis vulgaris,yes,,
Hull,19-09-15,,Phytoplankton,Nitzschia sigma,yes,,
Hull,19-09-15,0.5,Mobile epifauna,Obelia longissima,yes,,
Hull,19-09-15,4,Fouling organisms,Obelia longissima,yes,,
Hull,19-09-15,,Phytoplankton,Planktothrix agardhii,yes,,
Hull,19-09-15,0.5,Mobile epifauna,Plocamium cartilagineum,yes,,
Hull,19-09-15,7,Benthos,Plocamium cartilagineum,yes,,
Hull,19-09-15,6,Fouling organisms,Plocamium cartilagineum,yes,,
Hull,19-09-15,,Zooplankton,Polychaeta sp.,yes,,
Hull,19-09-15,0.5,Mobile epifauna,Blidingia minima,yes,,
Hull,19-09-15,6,Fouling organisms,Blidingia minima,yes,,
Hull,19-09-15,,Phytoplankton,Brockmanniella brockmannii,yes,,
Hull,19-09-15,,Zooplankton,Calanoidea,yes,copepodiet,
Hull,19-09-15,9,Fouling organisms,Callopora dumerilii,yes,,
Hull,19-09-15,,Phytoplankton,Campylosira cymbelliformis,yes,,
Hull,19-09-15,8,Mobile epifauna,Carcinus maenas,yes,,
Hull,19-09-15,8,Benthos,Carcinus maenas,yes,,
Hull,19-09-15,7,Benthos,Conopeum reticulum,yes,,
Hull,19-09-15,8,Benthos,Conopeum reticulum,yes,,
Hull,19-09-15,4,Fouling organisms,Conopeum reticulum,yes,,
Hull,19-09-15,,Zooplankton,Copepoda sp.,yes,nauplii,
Hull,19-09-15,,Phytoplankton,Coscinodiscopsis commutata,yes,,
Hull,19-09-15,7,Benthos,Crangon crangon,yes,,
Hull,19-09-15,7,Benthos,Crangon crangon,yes,,
Hull,19-09-15,0.5,Mobile epifauna,Dictyota dichotoma,yes,,
Hull,19-09-15,4,Fouling organisms,Diphasia attenuata,yes,,
Hull,19-09-15,,Phytoplankton,Ditylum brightwellii,yes,,
Hull,19-09-15,8,Benthos,Ficopomatus enigmaticus,yes,,
Hull,19-09-15,9,Benthos,Ficopomatus enigmaticus,yes,,
Hull,19-09-15,4,Fouling organisms,Ficopomatus enigmaticus,yes,,
Hull,19-09-15,9,Fouling organisms,Ficopomatus enigmaticus,yes,,
Hull,19-09-15,4,Fouling organisms,Fucus vesiculosus,yes,,
Hull,19-09-15,6,Fouling organisms,Prasiola stipitata,yes,,
Hull,19-09-15,,Phytoplankton,Pterosperma parallelum,yes,,
Hull,19-09-15,,Phytoplankton,Pyramimonas longicauda,yes,,
Hull,19-09-15,,Phytoplankton,Rhaphoneis amphiceros,yes,,
Hull,19-09-15,7,Benthos,Rhizoclonium riparium,yes,,
Hull,19-09-15,7,Benthos,Rhizoclonium riparium,yes,,
Hull,19-09-15,6,Fouling organisms,Rhizoclonium riparium,yes,,
Hull,19-09-15,,Zooplankton,Rotifera sp.,yes,,
Hull,19-09-15,,Phytoplankton,Skeletonema costatum,yes,,
Hull,19-09-15,4,Fouling organisms,Spirulina sp.,yes,,
Hull,19-09-15,,Phytoplankton,Thalassionema nitzschioides,yes,,
Hull,19-09-15,4,Fouling organisms,Ulothrix flacca,yes,,
Hull,19-09-15,8,Mobile epifauna,Enteromorpha ahlneriana,yes,,
Hull,19-09-15,8,Fouling organisms,Enteromorpha ahlneriana,yes,,
Hull,19-09-15,6,Fouling organisms,Ulva intestinalis,yes,,
Hull,19-09-15,,Pathogens,Vibrio spp.,yes,,
Hull,19-09-15,7,epifauna,Blidingia minima,yes,,
Hull,19-09-15,,Phytoplankton,Membraneis challengeri,yes,,
Hull,19-09-15,,Phytoplankton,Mesodinium rubrum,yes,,
Hull,19-09-15,,Phytoplankton,Micromonas pusilla,yes,,
Hull,19-09-15,4,epifauna,Mytilus edulis,yes,,
Hull,19-09-15,8,Benthos,Mytilus edulis,yes,,
Hull,19-09-15,8,Benthos,Mytilus edulis,yes,,
Hull,19-09-15,6,Benthos,Mytilus edulis,yes,,
Hull,19-09-15,4,Fouling organisms,Mytilus edulis,yes,,
Hull,19-09-15,7,Benthos,Neomysis vulgaris,yes,,
Hull,19-09-15,,Gelatineus Zooplankton,Neomysis vulgaris,yes,,
Hull,19-09-15,,Gelatineus Zooplankton,Neomysis vulgaris,yes,,
Hull,19-09-15,9,Fouling organisms,Neomysis vulgaris,yes,,
Hull,19-09-15,8,Mobile epifauna,Obelia longissima,yes,,
Hull,19-09-15,8,Benthos,Obelia longissima,yes,,
Hull,19-09-15,,Phytoplankton,Odontella aurita,yes,,
Hull,19-09-15,,Phytoplankton,Paralia sulcata,yes,,
Hull,19-09-15,,Phytoplankton,Paralia sulcata,yes,,
Hull,19-09-15,,Phytoplankton,Parlibellus delognei,yes,,
Hull,19-09-15,,Phytoplankton,Peridiniales,yes,,
Hull,19-09-15,,Phytoplankton,Peridinium achromaticum,yes,,
Hull,19-09-15,8,Mobile epifauna,Plocamium cartilagineum,yes,,
Hull,19-09-15,0.5,Mobile epifauna,Plocamium cartilagineum,yes,,
Hull,19-09-15,9,Benthos,Plocamium cartilagineum,yes,,
Hull,19-09-15,4,Fouling organisms,Plocamium cartilagineum,yes,,
Hull,19-09-15,4,Fouling organisms,Plocamium cartilagineum,yes,,
Hull,19-09-15,6,Fouling organisms,Plocamium cartilagineum,yes,,
Hull,19-09-15,,Zooplankton,Polychaeta sp.,yes,,
Hull,19-09-15,9,Fouling organisms,Polysiphonia fucoides,yes,,
Hull,19-09-15,4,Fouling organisms,Fucus spiralis,yes,,
Hull,19-09-15,8,Mobile epifauna,Fucus vesiculosus,yes,,
Hull,19-09-15,4,Fouling organisms,Fucus vesiculosus,yes,,
Hull,19-09-15,4,Fouling organisms,Fucus vesiculosus,yes,,
Hull,19-09-15,4,Fouling organisms,Fucus vesiculosus,yes,,
Hull,19-09-15,4,Fouling organisms,Fucus vesiculosus,yes,,
Hull,19-09-15,6,Fouling organisms,Fucus vesiculosus,yes,,
Hull,19-09-15,8,Mobile epifauna,Gammarus salinus,yes,,
Hull,19-09-15,0.5,Mobile epifauna,Gammarus salinus,yes,,
Hull,19-09-15,,Zooplankton,Gastropoda,yes,,
Hull,19-09-15,0.5,Mobile epifauna,Gobius niger,yes,,
Hull,19-09-15,,Phytoplankton,Guinardia delicatula,yes,,
Hull,19-09-15,,Phytoplankton,Guinardia flaccida,yes,,
Hull,19-09-15,9,Benthos,Hediste diversicolor,yes,,
Hull,19-09-15,7,Benthos,Hediste diversicolor,yes,,
Hull,19-09-15,7,Benthos,Hediste diversicolor,yes,,
Hull,19-09-15,9,Benthos,Hediste diversicolor,yes,,
Hull,19-09-15,9,Benthos,Hediste diversicolor,yes,,
Hull,19-09-15,,Phytoplankton,Heterocapsa minima,yes,,
Hull,19-09-15,,Phytoplankton,Heterocapsa minima,yes,,
Hull,19-09-15,,Phytoplankton,Heterocapsa triquetra,yes,,
Hull,19-09-15,7,Benthos,Heterosiphonia plumosa,yes,,
Hull,19-09-15,,Phytoplankton,Lauderia annulata,yes,,
Hull,19-09-15,9,Benthos,Macoma balthica,yes,,
Hull,19-09-15,7,Benthos,Macoma balthica,yes,,
Hull,19-09-15,,Phytoplankton,Melosira moniliformis,yes,,
Hull,19-09-15,8,Fouling organisms,Conopeum reticulum,yes,,
Hull,19-09-15,4,Fouling organisms,Conopeum reticulum,yes,,
Hull,19-09-15,,Zooplankton,Copepoda sp.,yes,nauplii,
Hull,19-09-15,,Phytoplankton,Coscinodiscopsis commutata,yes,,
Hull,19-09-15,8,Benthos,Crangon crangon,yes,,
Hull,19-09-15,,Phytoplankton,Cylindrotheca gracilis,yes,,
Hull,19-09-15,,Phytoplankton,Dactyliosolen fragilissimus,yes,,
Hull,19-09-15,,Phytoplankton,Delphineis minutissima,yes,,
Hull,19-09-15,8,Mobile epifauna,Dictyota dichotoma,yes,,
Hull,19-09-15,8,Benthos,Dictyota dichotoma,yes,,
Hull,19-09-15,,Phytoplankton,Ditylum brightwellii,yes,,
Hull,19-09-15,,Pathogens,Intestinal enterococci,yes,,
Hull,19-09-15,,Pathogens,Escherichia coli,yes,,
Hull,19-09-15,4,epifauna,Ficopomatus enigmaticus,yes,,
Hull,19-09-15,9,epifauna,Ficopomatus enigmaticus,yes,,
Hull,19-09-15,7,Benthos,Ficopomatus enigmaticus,yes,,
Hull,19-09-15,7,Benthos,Ficopomatus enigmaticus,yes,,
Hull,19-09-15,8,Benthos,Ficopomatus enigmaticus,yes,,
Hull,19-09-15,7,Benthos,Ficopomatus enigmaticus,yes,,
Hull,19-09-15,8,Benthos,Ficopomatus enigmaticus,yes,,
Hull,19-09-15,9,Benthos,Ficopomatus enigmaticus,yes,,
Hull,19-09-15,8,Fouling organisms,Ficopomatus enigmaticus,yes,,
Hull,19-09-15,4,Fouling organisms,Ficopomatus enigmaticus,yes,,
Hull,19-09-15,,Phytoplankton,Apedinella radians,yes,,
Hull,19-09-15,,Phytoplankton,Apedinella radians,yes,,
Hull,19-09-15,,Phytoplankton,Bacillaria paxillifera,yes,,
Hull,19-09-15,,Zooplankton,Balanidae,yes,nauplii,
Hull,19-09-15,4,epifauna,Amphibalanus improvisus,yes,,
Hull,19-09-15,8,epifauna,Blidingia minima,yes,,
Hull,19-09-15,7,Benthos,Blidingia marginata,yes,,
Hull,19-09-15,7,Benthos,Blidingia marginata,yes,,
Hull,19-09-15,8,Mobile epifauna,Blidingia minima,yes,,
Hull,19-09-15,0.5,Mobile epifauna,Blidingia minima,yes,,
Hull,19-09-15,6,Fouling organisms,Blidingia minima,yes,,
Hull,19-09-15,6,Fouling organisms,Blidingia minima,yes,,
Hull,19-09-15,,Phytoplankton,Brockmanniella brockmannii,yes,,
Hull,19-09-15,,Zooplankton,Calanoidea,yes,copepodiet,
Hull,19-09-15,,Zooplankton,Calanoidea,yes,,
Hull,19-09-15,7,Mobile epifauna,Carcinus maenas,yes,,
Hull,19-09-15,,Phytoplankton,Ceratoneis closterium,yes,,
Hull,19-09-15,,Phytoplankton,Chaetoceros subtilis,yes,,
Hull,19-09-15,,Phytoplankton,Chaetoceros subtilis,yes,,
Hull,19-09-15,8,Benthos,Chaetomorpha linum,yes,,
Hull,19-09-15,7,Benthos,Chaetomorpha linum,yes,,
Hull,19-09-15,8,Fouling organisms,Cladophora sp.,yes,,
Hull,19-09-15,8,Benthos,Conopeum reticulum,yes,,
Hull,19-09-15,,Phytoplankton,Plagiogrammopsis vanheurckii,yes,,
Hull,19-09-15,6,Fouling organisms,Plocamium cartilagineum,yes,,
Hull,19-09-15,,Zooplankton,Rotifera sp.,yes,,
Hull,19-09-15,4,Fouling organisms,Spirulina sp.,yes,,
Hull,19-09-15,4,Fouling organisms,Ulva intestinalis,yes,,
Hull,19-09-15,,Phytoplankton,Delphineis minutissima,yes,,
Hull,19-09-15,0.5,Mobile epifauna,Dictyota dichotoma,yes,,
Hull,19-09-15,9,Benthos,Ficopomatus enigmaticus,yes,,
Hull,19-09-15,4,Fouling organisms,Plocamium cartilagineum,yes,,
Hull,19-09-15,,Zooplankton,Acaria,yes,,
Hull,19-09-15,,Phytoplankton,Achnanthes brevipes,yes,,
Hull,19-09-15,,Phytoplankton,Actinocyclus octonarius,yes,,
Hull,19-09-15,,Phytoplankton,Actinoptychus senarius,yes,,
Hull,19-09-15,,Phytoplankton,Actinoptychus senarius,yes,,
Hull,19-09-15,,Phytoplankton,Actinoptychus splendens,yes,,
Hull,19-09-15,,Phytoplankton,Actinoptychus splendens,yes,,
Hull,19-09-15,8,Benthos,Amphibalanus improvisus,yes,,
Hull,19-09-15,8,Fouling organisms,Amphibalanus improvisus,yes,,
Hull,19-09-15,4,Fouling organisms,Amphibalanus improvisus,yes,,
Hull,19-09-15,4,Fouling organisms,Amphibalanus improvisus,yes,,
Hull,19-09-15,6,Fouling organisms,Prasiola stipitata,yes,,
Hull,19-09-15,,Phytoplankton,Rhaphoneis amphiceros,yes,,
Hull,19-09-15,7,Benthos,Rhizoclonium riparium,yes,,
Hull,19-09-15,9,Benthos,Rhizoclonium riparium,yes,,
Hull,19-09-15,,Phytoplankton,Rhizosolenia setigera,yes,,
Hull,19-09-15,0.5,Mobile epifauna,Sertularia cupressina,yes,,
Hull,19-09-15,,Phytoplankton,Tryblionella coarctata,yes,,
Hull,19-09-15,8,Benthos,Enteromorpha ahlneriana,yes,,
Hull,19-09-15,,Pathogens,Vibrio spp.,yes,,
Hull,19-09-15,9,Benthos,Elminius modestus,yes,,
Hull,19-09-15,8,Mobile epifauna,Carcinus maenas,yes,,
Hull,19-09-15,8,Fouling organisms,Ceramium diaphanum,yes,,
Hull,19-09-15,9,Benthos,Crangon crangon,yes,,
Hull,19-09-15,9,Benthos,Ficopomatus enigmaticus,yes,,
Hull,19-09-15,0.5,Mobile epifauna,Fucus vesiculosus,yes,,
Hull,19-09-15,6,Fouling organisms,Fucus vesiculosus,yes,,
Hull,19-09-15,,Zooplankton,Gammaridea,yes,,
Hull,19-09-15,,Phytoplankton,Grammatophora marina,yes,,
Hull,19-09-15,,Phytoplankton,Gyrodinium flagellare,yes,,
Hull,19-09-15,,Phytoplankton,Heterocapsa triquetra,yes,,
Hull,19-09-15,,Phytoplankton,Lennoxia faveolata,yes,,
Hull,19-09-15,8,Fouling organisms,Melita nitida,yes,,
Hull,19-09-15,4,Fouling organisms,Mytilus edulis,yes,,
Hull,19-09-15,9,Benthos,Neomysis vulgaris,yes,,
Hull,18-09-15,7,Fouling organisms,Euplana gracilis,yes,,
Hull,18-09-15,7,Fouling organisms,Ficopomatus enigmaticus,yes,,
Hull,18-09-15,7,Fouling organisms,Melita nitida,yes,,
Hull,18-09-15,7,Fouling organisms,Mytilus edulis,yes,,
Hull,18-09-15,7,Fouling organisms,Ficopomatus enigmaticus,yes,,
Hull,18-09-15,7,Fouling organisms,Conopeum reticulum,yes,,
Hull,18-09-15,7,Fouling organisms,Melita palmata,yes,,
Hull,18-09-15,7,Fouling organisms,Ficopomatus enigmaticus,yes,,
Hull,18-09-15,7,Fouling organisms,Conopeum reticulum,yes,,
Hull,18-09-15,7,Fouling organisms,Amphibalanus improvisus,yes,,
Hull,18-09-15,7,Fouling organisms,Callopora dumerilii,yes,,
Hull,17-09-15,4,Fouling organisms,Actinia equina,yes,,
Hull,17-09-15,4,Fouling organisms,Ceramium diaphanum,yes,,
Hull,17-09-15,4,Fouling organisms,Amphibalanus improvisus,yes,,
Hull,17-09-15,4,Fouling organisms,Fucus vesiculosus,yes,,
Hull,17-09-15,4,Fouling organisms,Elminius modestus,yes,,
Hull,17-09-15,4,Fouling organisms,Elminius modestus,yes,,
Hull,17-09-15,4,Fouling organisms,Amphibalanus improvisus,yes,,
Hull,17-09-15,4,Fouling organisms,Tubularia indivisa,yes,,
Hull,17-09-15,4,Fouling organisms,Polysiphonia fucoides,yes,,
Hull,17-09-15,4,Fouling organisms,Tubularia indivisa,yes,,
Hull,17-09-15,4,Fouling organisms,Amphibalanus improvisus,yes,,
Hull,17-09-15,4,Fouling organisms,Aglaothamnion hookeri,yes,,
Hull,17-09-15,4,Fouling organisms,Electra pilosa,yes,,
Hull,17-09-15,4,Fouling organisms,Elminius modestus,yes,,
Hull,17-09-15,4,Fouling organisms,Tubularia indivisa,yes,,
Hull,17-09-15,4,Fouling organisms,Ficopomatus enigmaticus,yes,,
Hull,17-09-15,4,Fouling organisms,Enteromorpha ahlneriana,yes,,
Hull,16-09-15,6,epifauna,Carcinus maenas,yes,,
Hull,16-09-15,6,Fouling organisms,Carcinus maenas,yes,,
Hull,16-09-15,6,Fouling organisms,Conopeum reticulum,yes,,
Hull,16-09-15,6,Fouling organisms,Obelia longissima,yes,,
Hull,16-09-15,6,Fouling organisms,Amphibalanus improvisus,yes,,
Hull,16-09-15,6,epifauna,Ficopomatus enigmaticus,yes,,
Hull,16-09-15,6,Fouling organisms,Ficopomatus enigmaticus,yes,,
Hull,16-09-15,8,Fouling organisms,Callopora dumerilii,yes,,
Hull,16-09-15,4,Benthos,Amphibalanus improvisus,yes,,
Hull,16-09-15,4,Benthos,Amphibalanus improvisus,yes,,
Hull,16-09-15,8,Fouling organisms,Amphibalanus improvisus,yes,,
Hull,16-09-15,8,Fouling organisms,Amphibalanus improvisus,yes,,
Hull,16-09-15,6,Fouling organisms,Amphibalanus improvisus,yes,,
Hull,16-09-15,4,Benthos,Amphibalanus improvisus,yes,,
Hull,16-09-15,6,epifauna,Amphibalanus improvisus,yes,,
Hull,16-09-15,4,Benthos,Conopeum reticulum,yes,,
Hull,16-09-15,6,Fouling organisms,Conopeum reticulum,yes,,
Hull,16-09-15,6,Fouling organisms,Ficopomatus enigmaticus,yes,,
Hull,16-09-15,4,Benthos,Hediste diversicolor,yes,,
Hull,16-09-15,6,Fouling organisms,Gammarus salinus,yes,,
Hull,16-09-15,6,Fouling organisms,Molgula manhattensis,yes,,
Hull,16-09-15,4,Benthos,Mytilus edulis,yes,,
Hull,16-09-15,4,Benthos,Mytilus edulis,yes,,
Hull,16-09-15,6,Fouling organisms,Mytilus edulis,yes,,
Hull,16-09-15,6,Fouling organisms,Obelia geniculata,yes,,
Hull,16-09-15,6,Fouling organisms,Obelia longissima,yes,,
Hull,16-09-15,6,Fouling organisms,Carcinus maenas,yes,,
Hull,16-09-15,8,Fouling organisms,Conopeum reticulum,yes,,
Hull,16-09-15,4,Benthos,Conopeum reticulum,yes,,
Hull,16-09-15,8,Fouling organisms,Conopeum reticulum,yes,,
Hull,16-09-15,6,Fouling organisms,Conopeum reticulum,yes,,
Hull,16-09-15,6,Fouling organisms,Conopeum reticulum,yes,,
Hull,16-09-15,4,Benthos,Corophium volutator,yes,,
Hull,16-09-15,4,Benthos,Ficopomatus enigmaticus,yes,,
Hull,16-09-15,8,Fouling organisms,Ficopomatus enigmaticus,yes,,
Hull,16-09-15,6,Fouling organisms,Ficopomatus enigmaticus,yes,,
Hull,16-09-15,6,Fouling organisms,Ficopomatus enigmaticus,yes,,
Hull,16-09-15,8,Fouling organisms,Amphibalanus improvisus,yes,,
Hull,16-09-15,6,Fouling organisms,Elminius modestus,yes,,
Hull,16-09-15,6,epifauna,Blidingia minima,yes,,
Hull,16-09-15,6,epifauna,Mytilus edulis,yes,,
Hull,16-09-15,4,Benthos,Mytilus edulis,yes,,
Hull,16-09-15,6,Fouling organisms,Mytilus edulis,yes,,
Hull,16-09-15,6,Fouling organisms,Obelia longissima,yes,,
Hull,16-09-15,8,Fouling organisms,Ficopomatus enigmaticus,yes,,
Hull,16-09-15,6,Fouling organisms,Ficopomatus enigmaticus,yes,,
Hull,16-09-15,6,Fouling organisms,Ficopomatus enigmaticus,yes,,
